#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NOT_IN_DYNASTY;NEM az alábbi család tagja:;N'est PAS un membre de la Maison;Ist KEIN Mitglied von Haus ;;NO forma parte de la Casa ;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2E;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W eljegyezzék egymást. Mint a $MYPARTYTIER$ hozzátartozója, §Y$MYPARTY$§W számára $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt, hogy egy $THEIRPARTYTIER$ rangú személyt vesz el.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W gagnerait $PRESTIGE$ prestige en se marriant avec quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé une $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §[RecipientExtra.GetTitledFirstName]§W se prometan. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W ganará $PRESTIGE$ prestigio por casarse con la §YCasa [RecipienteExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2F;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W eljegyezzék egymást. Mint a $MYPARTYTIER$ hozzátartozója, §Y$MYPARTY$§W és a te számodra $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt, hogy egy $THEIRPARTYTIER$ rangú személyt vesz el.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W et vous gagneriez $PRESTIGE$ prestige en épousant quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé une $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §[RecipientExtra.GetTitledFirstName]§W se prometan. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W y tú ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipienteExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2G;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W eljegyezzék egymást. Mint a $MYPARTYTIER$, §Y$MYPARTY$§W számára $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt, hogy egy $THEIRPARTYTIER$ rangú személyt vesz el.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W gagnerait $PRESTIGE$ prestige en se marriant avec quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé une $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §[RecipientExtra.GetTitledFirstName]§W se prometan. Como un $MYPARTYTIER$, §Y$MYPARTY$§W ganará $PRESTIGE$ prestigio por casarse con la §YCasa [RecipienteExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2H;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W eljegyezzék egymást. Mint a $MYPARTYTIER$, §Y$MYPARTY$§W és a te számodra $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt, hogy egy $THEIRPARTYTIER$ rangú személyt vesz el.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W et vous gagneriez $PRESTIGE$ prestige en se marriant avec quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé une $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §[RecipientExtra.GetTitledFirstName]§W se prometan. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y tú ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipienteExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2A;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W eljegyezzék egymást matrilineárisan. Mint a $MYPARTYTIER$ hozzátartozója, §Y$MYPARTY$§W számára $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt, hogy $THEIRPARTYTIER$ hozzátartozójával egybekel.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéaire. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W gagnerait $PRESTIGE$ prestige en se marriant avec quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé le proche parent d'un $THEIRPARTYTIER$.;Ein matrilineare Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipienteExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§! ganará $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2B;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W eljegyezzék egymást matrilineárisan. Mint a $MYPARTYTIER$ hozzátartozója, §Y$MYPARTY$§W és a te számodra $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt hogy egy $THEIRPARTYTIER$ hozzátartozóját veszi el.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéaire. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W et vous gagneriez $PRESTIGE$ prestige en se marriant avec quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ pour avoir épousé le proche parent d'un $THEIRPARTYTIER$.;Ein matrilineare Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W y tú ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2C;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W eljegyezzék egymást matrilineárisan. Mint a $MYPARTYTIER$, §Y$MYPARTY$§W számára $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt, hogy $THEIRPARTYTIER$ hozzátartozójával egybekel.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéaire. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W gagnerait $PRESTIGE$ prestige en se marriant avec quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé le proche parent d'un $THEIRPARTYTIER$.;Ein matrilineare Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como un $MYPARTYTIER$, §Y$MYPARTY$§W ganará $PRESTIGE$ prestigio por casarse con la §YCasa [RecipienteExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2D;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W eljegyezzék egymást matrilineárisan. Mint a $MYPARTYTIER$, §Y$MYPARTY$§W és a te számodra $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt hogy egy $THEIRPARTYTIER$ hozzátartozóját veszi el.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéaire. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W et vous gagneriez $PRESTIGE$ prestige en se marriant avec quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé le proche parent d'un $THEIRPARTYTIER$.;Ein matrilineare Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y tú ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipienteExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2E;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W eljegyezzék egymást matrilineárisan. Mint a $MYPARTYTIER$ hozzátartozója, §Y$MYPARTY$§W számára $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt, hogy egy $THEIRPARTYTIER$ rangú személyt vesz el.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéaire. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W gagnerait $PRESTIGE$ prestige en se marriant avec quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé une $THEIRPARTYTIER$.;Ein matrilineare Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W ganará $PRESTIGE$ prestigio por casarse con la §YCasa [RecipienteExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2F;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W eljegyezzék egymást matrilineárisan. Mint a $MYPARTYTIER$ hozzátartozója, §Y$MYPARTY$§W és a te számodra $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt, hogy egy $THEIRPARTYTIER$ rangú személyt vesz el.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéaire. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W et vous gagneriez $PRESTIGE$ prestige en épousant quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé une $THEIRPARTYTIER$.;Ein matrilineare Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W y tú ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipienteExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2G;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W eljegyezzék egymást matrilineárisan. Mint a $MYPARTYTIER$, §Y$MYPARTY$§W számára $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt, hogy egy $THEIRPARTYTIER$ rangú személyt vesz el.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéaire. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W gagnerait $PRESTIGE$ prestige en se marriant avec quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé une $THEIRPARTYTIER$.;Ein matrilineare Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como un $MYPARTYTIER$, §Y$MYPARTY$§W ganará $PRESTIGE$ prestigio por casarse con la §YCasa [RecipienteExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARYTIER$.;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2H;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W eljegyezzék egymást matrilineárisan. Mint a $MYPARTYTIER$, §Y$MYPARTY$§W és a te számodra $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt, hogy egy $THEIRPARTYTIER$ rangú személyt vesz el.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se fiancent matrilinéaire. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W et vous gagneriez $PRESTIGE$ prestige en se marriant avec quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé une $THEIRPARTYTIER$.;Ein matrilineare Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §[RecipientExtra.GetTitledFirstName]§W se prometan matrilinealmente. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y tú ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipienteExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARYTIER$.;;;;;;;;;x
tut_0a_6;Kattints a portréra. Minden karakter rendelkezik egy iylen nézettel. Õ itt Skócia királya, és itt látod, hogy a felesége, szülõi és nagyszülõi pedig halottak. Van három gyermeke és három testvére.;Cliquez sur le portrait. Tous les personnages ont un écran comme celui-ci. Vous avez devant vous le roi d'Ecosse, et ici vous pouvez voir que sa femme, ses parents et ses grands-parents sont morts. Il a trois enfants et trois frères.;Klickt auf das Porträt. Jeder Charakter hat einen Bildschirm wie diesen. Dies ist der König von Schottland und wie Ihr hier sehen könnt, sind seine Frau, seine Eltern und seine Großeltern tot. Er hat drei Kinder und drei Geschwister.;;Pincha en el retrato. Todos los personajes tienen una vista como esta. Este es el Rey de Escocia, y aquí puedes ver que tanto su mujer, comos sus padress y abuelos están muertos. Tiene tres hijos y tres hermanos.;;;;;;;;;x
